DT-Index;Datum;Zeit;Quotation [Euro/MWh]
03.10.2021 11:15:00;03.10.2021;11:15:00;31,071
03.10.2021 11:30:00;03.10.2021;11:30:00;42,353
03.10.2021 11:45:00;03.10.2021;11:45:00;46,172
03.10.2021 12:00:00;03.10.2021;12:00:00;44,957
03.10.2021 12:15:00;03.10.2021;12:15:00;60,406
03.10.2021 12:30:00;03.10.2021;12:30:00;45,825
03.10.2021 12:45:00;03.10.2021;12:45:00;33,501
03.10.2021 13:00:00;03.10.2021;13:00:00;0,521
03.10.2021 13:15:00;03.10.2021;13:15:00;52,595
03.10.2021 13:30:00;03.10.2021;13:30:00;30,203
03.10.2021 13:45:00;03.10.2021;13:45:00;6,422
03.10.2021 14:00:00;03.10.2021;14:00:00;0,174
03.10.2021 14:15:00;03.10.2021;14:15:00;11,109
03.10.2021 14:30:00;03.10.2021;14:30:00;5,207
03.10.2021 14:45:00;03.10.2021;14:45:00;10,762
03.10.2021 15:00:00;03.10.2021;15:00:00;21,697
03.10.2021 15:15:00;03.10.2021;15:15:00;0,174
03.10.2021 15:30:00;03.10.2021;15:30:00;15,622
03.10.2021 15:45:00;03.10.2021;15:45:00;42,006
03.10.2021 16:00:00;03.10.2021;16:00:00;52,942
03.10.2021 16:15:00;03.10.2021;16:15:00;10,588
03.10.2021 16:30:00;03.10.2021;16:30:00;30,724
03.10.2021 16:45:00;03.10.2021;16:45:00;53,289
03.10.2021 17:00:00;03.10.2021;17:00:00;69,432
03.10.2021 17:15:00;03.10.2021;17:15:00;23,260
03.10.2021 17:30:00;03.10.2021;17:30:00;38,882
03.10.2021 17:45:00;03.10.2021;17:45:00;63,183
03.10.2021 18:00:00;03.10.2021;18:00:00;97,205
03.10.2021 18:15:00;03.10.2021;18:15:00;49,991
03.10.2021 18:30:00;03.10.2021;18:30:00;62,662
03.10.2021 18:45:00;03.10.2021;18:45:00;73,945
03.10.2021 19:00:00;03.10.2021;19:00:00;91,997
03.10.2021 19:15:00;03.10.2021;19:15:00;84,360
03.10.2021 19:30:00;03.10.2021;19:30:00;90,261
03.10.2021 19:45:00;03.10.2021;19:45:00;91,129
03.10.2021 20:00:00;03.10.2021;20:00:00;74,639
03.10.2021 20:15:00;03.10.2021;20:15:00;97,378
03.10.2021 20:30:00;03.10.2021;20:30:00;66,307
03.10.2021 20:45:00;03.10.2021;20:45:00;61,794
03.10.2021 21:00:00;03.10.2021;21:00:00;48,776
03.10.2021 21:15:00;03.10.2021;21:15:00;63,183
03.10.2021 21:30:00;03.10.2021;21:30:00;61,968
03.10.2021 21:45:00;03.10.2021;21:45:00;50,685
03.10.2021 22:00:00;03.10.2021;22:00:00;53,289
03.10.2021 22:15:00;03.10.2021;22:15:00;61,447
03.10.2021 22:30:00;03.10.2021;22:30:00;57,108
03.10.2021 22:45:00;03.10.2021;22:45:00;59,885
03.10.2021 23:00:00;03.10.2021;23:00:00;49,470
03.10.2021 23:15:00;03.10.2021;23:15:00;62,836
03.10.2021 23:30:00;03.10.2021;23:30:00;57,108
03.10.2021 23:45:00;03.10.2021;23:45:00;51,206
04.10.2021 00:00:00;04.10.2021;00:00:00;36,105
04.10.2021 00:15:00;04.10.2021;00:15:00;66,639
04.10.2021 00:30:00;04.10.2021;00:30:00;56,345
04.10.2021 00:45:00;04.10.2021;00:45:00;46,444
04.10.2021 01:00:00;04.10.2021;01:00:00;41,719
04.10.2021 01:15:00;04.10.2021;01:15:00;55,508
04.10.2021 01:30:00;04.10.2021;01:30:00;47,787
04.10.2021 01:45:00;04.10.2021;01:45:00;46,300
04.10.2021 02:00:00;04.10.2021;02:00:00;44,263
04.10.2021 02:15:00;04.10.2021;02:15:00;45,840
04.10.2021 02:30:00;04.10.2021;02:30:00;43,629
04.10.2021 02:45:00;04.10.2021;02:45:00;43,674
04.10.2021 03:00:00;04.10.2021;03:00:00;46,504
04.10.2021 03:15:00;04.10.2021;03:15:00;38,920
04.10.2021 03:30:00;04.10.2021;03:30:00;41,387
04.10.2021 03:45:00;04.10.2021;03:45:00;42,308
04.10.2021 04:00:00;04.10.2021;04:00:00;48,980
04.10.2021 04:15:00;04.10.2021;04:15:00;34,233
04.10.2021 04:30:00;04.10.2021;04:30:00;43,033
04.10.2021 04:45:00;04.10.2021;04:45:00;47,017
04.10.2021 05:00:00;04.10.2021;05:00:00;57,085
04.10.2021 05:15:00;04.10.2021;05:15:00;36,761
04.10.2021 05:30:00;04.10.2021;05:30:00;40,836
04.10.2021 05:45:00;04.10.2021;05:45:00;48,791
04.10.2021 06:00:00;04.10.2021;06:00:00;73,409
04.10.2021 06:15:00;04.10.2021;06:15:00;41,236
04.10.2021 06:30:00;04.10.2021;06:30:00;71,364
04.10.2021 06:45:00;04.10.2021;06:45:00;82,231
04.10.2021 07:00:00;04.10.2021;07:00:00;101,597
04.10.2021 07:15:00;04.10.2021;07:15:00;76,564
04.10.2021 07:30:00;04.10.2021;07:30:00;91,718
04.10.2021 07:45:00;04.10.2021;07:45:00;93,393
04.10.2021 08:00:00;04.10.2021;08:00:00;94,774
04.10.2021 08:15:00;04.10.2021;08:15:00;99,887
04.10.2021 08:30:00;04.10.2021;08:30:00;88,657
04.10.2021 08:45:00;04.10.2021;08:45:00;83,065
04.10.2021 09:00:00;04.10.2021;09:00:00;70,591
04.10.2021 09:15:00;04.10.2021;09:15:00;96,442
04.10.2021 09:30:00;04.10.2021;09:30:00;79,388
04.10.2021 09:45:00;04.10.2021;09:45:00;73,298
04.10.2021 10:00:00;04.10.2021;10:00:00;64,102
04.10.2021 10:15:00;04.10.2021;10:15:00;85,578
04.10.2021 10:30:00;04.10.2021;10:30:00;73,490
04.10.2021 10:45:00;04.10.2021;10:45:00;67,480
04.10.2021 11:00:00;04.10.2021;11:00:00;60,578
04.10.2021 11:15:00;04.10.2021;11:15:00;74,514
04.10.2021 11:30:00;04.10.2021;11:30:00;72,068
04.10.2021 11:45:00;04.10.2021;11:45:00;69,022
04.10.2021 12:00:00;04.10.2021;12:00:00;62,586
04.10.2021 12:15:00;04.10.2021;12:15:00;71,562
04.10.2021 12:30:00;04.10.2021;12:30:00;62,194
04.10.2021 12:45:00;04.10.2021;12:45:00;62,619
04.10.2021 13:00:00;04.10.2021;13:00:00;60,033
04.10.2021 13:15:00;04.10.2021;13:15:00;70,259
04.10.2021 13:30:00;04.10.2021;13:30:00;66,064
04.10.2021 13:45:00;04.10.2021;13:45:00;62,480
04.10.2021 14:00:00;04.10.2021;14:00:00;54,707
04.10.2021 14:15:00;04.10.2021;14:15:00;54,667
04.10.2021 14:30:00;04.10.2021;14:30:00;60,538
04.10.2021 14:45:00;04.10.2021;14:45:00;65,472
04.10.2021 15:00:00;04.10.2021;15:00:00;71,522
04.10.2021 15:15:00;04.10.2021;15:15:00;57,646
04.10.2021 15:30:00;04.10.2021;15:30:00;64,521
04.10.2021 15:45:00;04.10.2021;15:45:00;69,302
04.10.2021 16:00:00;04.10.2021;16:00:00;74,022
04.10.2021 16:15:00;04.10.2021;16:15:00;55,060
04.10.2021 16:30:00;04.10.2021;16:30:00;64,275
04.10.2021 16:45:00;04.10.2021;16:45:00;71,582
04.10.2021 17:00:00;04.10.2021;17:00:00;89,747
04.10.2021 17:15:00;04.10.2021;17:15:00;58,989
04.10.2021 17:30:00;04.10.2021;17:30:00;74,953
04.10.2021 17:45:00;04.10.2021;17:45:00;85,219
04.10.2021 18:00:00;04.10.2021;18:00:00;105,904
04.10.2021 18:15:00;04.10.2021;18:15:00;77,101
04.10.2021 18:30:00;04.10.2021;18:30:00;80,146
04.10.2021 18:45:00;04.10.2021;18:45:00;94,182
04.10.2021 19:00:00;04.10.2021;19:00:00;105,551
04.10.2021 19:15:00;04.10.2021;19:15:00;104,188
04.10.2021 19:30:00;04.10.2021;19:30:00;98,690
04.10.2021 19:45:00;04.10.2021;19:45:00;98,125
04.10.2021 20:00:00;04.10.2021;20:00:00;93,125
04.10.2021 20:15:00;04.10.2021;20:15:00;128,607
04.10.2021 20:30:00;04.10.2021;20:30:00;98,774
04.10.2021 20:45:00;04.10.2021;20:45:00;82,556
04.10.2021 21:00:00;04.10.2021;21:00:00;64,013
04.10.2021 21:15:00;04.10.2021;21:15:00;105,936
04.10.2021 21:30:00;04.10.2021;21:30:00;83,771
04.10.2021 21:45:00;04.10.2021;21:45:00;70,481
04.10.2021 22:00:00;04.10.2021;22:00:00;51,093
04.10.2021 22:15:00;04.10.2021;22:15:00;97,378
04.10.2021 22:30:00;04.10.2021;22:30:00;77,899
04.10.2021 22:45:00;04.10.2021;22:45:00;63,960
04.10.2021 23:00:00;04.10.2021;23:00:00;44,768
04.10.2021 23:15:00;04.10.2021;23:15:00;82,307
04.10.2021 23:30:00;04.10.2021;23:30:00;67,930
04.10.2021 23:45:00;04.10.2021;23:45:00;55,251
05.10.2021 00:00:00;05.10.2021;00:00:00;35,229
05.10.2021 00:15:00;05.10.2021;00:15:00;73,212
05.10.2021 00:30:00;05.10.2021;00:30:00;63,323
05.10.2021 00:45:00;05.10.2021;00:45:00;52,263
05.10.2021 01:00:00;05.10.2021;01:00:00;43,563
05.10.2021 01:15:00;05.10.2021;01:15:00;63,923
05.10.2021 01:30:00;05.10.2021;01:30:00;56,217
05.10.2021 01:45:00;05.10.2021;01:45:00;50,647
05.10.2021 02:00:00;05.10.2021;02:00:00;46,438
05.10.2021 02:15:00;05.10.2021;02:15:00;52,028
05.10.2021 02:30:00;05.10.2021;02:30:00;48,240
05.10.2021 02:45:00;05.10.2021;02:45:00;50,637
05.10.2021 03:00:00;05.10.2021;03:00:00;52,071
05.10.2021 03:15:00;05.10.2021;03:15:00;44,661
05.10.2021 03:30:00;05.10.2021;03:30:00;45,769
05.10.2021 03:45:00;05.10.2021;03:45:00;48,311
05.10.2021 04:00:00;05.10.2021;04:00:00;53,021
05.10.2021 04:15:00;05.10.2021;04:15:00;38,216
05.10.2021 04:30:00;05.10.2021;04:30:00;45,274
05.10.2021 04:45:00;05.10.2021;04:45:00;53,983
05.10.2021 05:00:00;05.10.2021;05:00:00;59,888
05.10.2021 05:15:00;05.10.2021;05:15:00;42,478
05.10.2021 05:30:00;05.10.2021;05:30:00;49,243
05.10.2021 05:45:00;05.10.2021;05:45:00;58,754
05.10.2021 06:00:00;05.10.2021;06:00:00;70,907
05.10.2021 06:15:00;05.10.2021;06:15:00;42,851
05.10.2021 06:30:00;05.10.2021;06:30:00;66,542
05.10.2021 06:45:00;05.10.2021;06:45:00;83,977
05.10.2021 07:00:00;05.10.2021;07:00:00;104,773
05.10.2021 07:15:00;05.10.2021;07:15:00;73,207
05.10.2021 07:30:00;05.10.2021;07:30:00;88,686
05.10.2021 07:45:00;05.10.2021;07:45:00;94,552
05.10.2021 08:00:00;05.10.2021;08:00:00;96,421
05.10.2021 08:15:00;05.10.2021;08:15:00;93,316
05.10.2021 08:30:00;05.10.2021;08:30:00;86,877
05.10.2021 08:45:00;05.10.2021;08:45:00;82,022
05.10.2021 09:00:00;05.10.2021;09:00:00;69,887
05.10.2021 09:15:00;05.10.2021;09:15:00;91,795
05.10.2021 09:30:00;05.10.2021;09:30:00;79,328
05.10.2021 09:45:00;05.10.2021;09:45:00;72,021
05.10.2021 10:00:00;05.10.2021;10:00:00;63,997
05.10.2021 10:15:00;05.10.2021;10:15:00;84,367
05.10.2021 10:30:00;05.10.2021;10:30:00;72,606
