DT-Index;Datum;Zeit;Quotation [Euro/MWh]
03.10.2021 21:00:00;03.10.2021;21:00:00;38,289
03.10.2021 21:15:00;03.10.2021;21:15:00;54,058
03.10.2021 21:30:00;03.10.2021;21:30:00;48,421
03.10.2021 21:45:00;03.10.2021;21:45:00;40,948
03.10.2021 22:00:00;03.10.2021;22:00:00;35,505
03.10.2021 22:15:00;03.10.2021;22:15:00;53,384
03.10.2021 22:30:00;03.10.2021;22:30:00;50,664
03.10.2021 22:45:00;03.10.2021;22:45:00;42,485
03.10.2021 23:00:00;03.10.2021;23:00:00;34,391
03.10.2021 23:15:00;03.10.2021;23:15:00;52,320
03.10.2021 23:30:00;03.10.2021;23:30:00;43,548
03.10.2021 23:45:00;03.10.2021;23:45:00;32,087
04.10.2021 00:00:00;04.10.2021;00:00:00;19,930
04.10.2021 00:15:00;04.10.2021;00:15:00;41,181
04.10.2021 00:30:00;04.10.2021;00:30:00;35,103
04.10.2021 00:45:00;04.10.2021;00:45:00;27,330
04.10.2021 01:00:00;04.10.2021;01:00:00;23,299
04.10.2021 01:15:00;04.10.2021;01:15:00;35,773
04.10.2021 01:30:00;04.10.2021;01:30:00;30,822
04.10.2021 01:45:00;04.10.2021;01:45:00;28,550
04.10.2021 02:00:00;04.10.2021;02:00:00;24,631
04.10.2021 02:15:00;04.10.2021;02:15:00;29,885
04.10.2021 02:30:00;04.10.2021;02:30:00;27,193
04.10.2021 02:45:00;04.10.2021;02:45:00;28,378
04.10.2021 03:00:00;04.10.2021;03:00:00;30,418
04.10.2021 03:15:00;04.10.2021;03:15:00;24,159
04.10.2021 03:30:00;04.10.2021;03:30:00;26,106
04.10.2021 03:45:00;04.10.2021;03:45:00;27,695
04.10.2021 04:00:00;04.10.2021;04:00:00;33,236
04.10.2021 04:15:00;04.10.2021;04:15:00;19,631
04.10.2021 04:30:00;04.10.2021;04:30:00;25,598
04.10.2021 04:45:00;04.10.2021;04:45:00;31,080
04.10.2021 05:00:00;04.10.2021;05:00:00;37,043
04.10.2021 05:15:00;04.10.2021;05:15:00;19,320
04.10.2021 05:30:00;04.10.2021;05:30:00;24,542
04.10.2021 05:45:00;04.10.2021;05:45:00;38,276
04.10.2021 06:00:00;04.10.2021;06:00:00;52,182
04.10.2021 06:15:00;04.10.2021;06:15:00;19,362
04.10.2021 06:30:00;04.10.2021;06:30:00;42,543
